Trade_Time,Price_USD,Volume_BTC,Symbol
2025-09-30 01:47:08.015,114308.7,0.001,BTCUSDT
2025-09-30 01:47:08.015,114308.7,0.002,BTCUSDT
2025-09-30 01:47:08.015,114308.6,0.003,BTCUSDT
2025-09-30 01:47:08.015,114308.5,0.004,BTCUSDT
2025-09-30 01:47:08.015,114308.5,0.001,BTCUSDT
2025-09-30 01:47:08.015,114308.2,0.002,BTCUSDT
2025-09-30 01:47:08.015,114308.1,0.002,BTCUSDT
2025-09-30 01:47:08.015,114307.9,0.008,BTCUSDT
2025-09-30 01:47:08.015,114307.8,0.002,BTCUSDT
2025-09-30 01:47:08.035,114307.7,0.02,BTCUSDT
2025-09-30 01:47:08.035,114307.7,0.001,BTCUSDT
2025-09-30 01:47:08.035,114307.7,0.001,BTCUSDT
2025-09-30 01:47:08.035,114307.7,0.001,BTCUSDT
2025-09-30 01:47:08.035,114307.7,0.001,BTCUSDT
2025-09-30 01:47:08.035,114307.7,0.002,BTCUSDT
2025-09-30 01:47:08.035,114307.7,0.001,BTCUSDT
2025-09-30 01:47:08.035,114307.7,0.005,BTCUSDT
2025-09-30 01:47:08.035,114307.7,0.025,BTCUSDT
2025-09-30 01:47:08.035,114307.7,0.007,BTCUSDT
2025-09-30 01:47:08.041,114307.7,0.02,BTCUSDT
2025-09-30 01:47:08.042,114307.7,0.02,BTCUSDT
2025-09-30 01:47:08.064,114307.8,0.002,BTCUSDT
2025-09-30 01:47:08.079,114307.7,0.04,BTCUSDT
2025-09-30 01:47:08.079,114307.7,0.087,BTCUSDT
2025-09-30 01:47:08.079,114307.7,0.001,BTCUSDT
2025-09-30 01:47:08.079,114307.7,0.002,BTCUSDT
2025-09-30 01:47:08.209,114307.6,0.001,BTCUSDT
2025-09-30 01:47:08.209,114307.6,0.001,BTCUSDT
2025-09-30 01:47:08.209,114307.6,0.024,BTCUSDT
2025-09-30 01:47:08.449,114307.7,0.004,BTCUSDT
2025-09-30 01:47:08.632,114307.7,0.104,BTCUSDT
2025-09-30 01:47:08.724,114307.6,0.011,BTCUSDT
2025-09-30 01:47:09.033,114307.6,0.048,BTCUSDT
2025-09-30 01:47:09.033,114307.6,0.1,BTCUSDT
2025-09-30 01:47:09.067,114307.7,0.017,BTCUSDT
2025-09-30 01:47:09.272,114307.6,0.003,BTCUSDT
2025-09-30 01:47:09.588,114307.6,0.101,BTCUSDT
2025-09-30 01:47:09.735,114307.6,0.101,BTCUSDT
2025-09-30 01:47:09.938,114307.6,0.005,BTCUSDT
2025-09-30 01:47:09.950,114307.7,0.001,BTCUSDT
2025-09-30 01:47:10.036,114307.6,0.001,BTCUSDT
2025-09-30 01:47:10.036,114307.6,0.009,BTCUSDT
2025-09-30 01:47:10.236,114307.7,0.04,BTCUSDT
2025-09-30 01:47:10.302,114307.7,0.008,BTCUSDT
2025-09-30 01:47:10.338,114307.6,0.002,BTCUSDT
2025-09-30 01:47:10.574,114307.6,0.028,BTCUSDT
2025-09-30 01:47:10.677,114307.6,0.03,BTCUSDT
2025-09-30 01:47:10.753,114307.7,0.001,BTCUSDT
2025-09-30 01:47:10.909,114307.6,0.087,BTCUSDT
2025-09-30 01:47:11.032,114307.6,0.735,BTCUSDT
2025-09-30 01:47:11.032,114307.6,0.004,BTCUSDT
2025-09-30 01:47:11.032,114307.6,0.001,BTCUSDT
2025-09-30 01:47:11.032,114307.6,0.001,BTCUSDT
2025-09-30 01:47:11.032,114307.6,0.001,BTCUSDT
2025-09-30 01:47:11.032,114307.6,0.027,BTCUSDT
2025-09-30 01:47:11.032,114307.6,0.033,BTCUSDT
2025-09-30 01:47:11.032,114307.6,0.005,BTCUSDT
2025-09-30 01:47:11.032,114307.6,0.003,BTCUSDT
2025-09-30 01:47:11.032,114307.6,0.001,BTCUSDT
2025-09-30 01:47:11.032,114307.6,0.078,BTCUSDT
2025-09-30 01:47:11.032,114307.6,0.015,BTCUSDT
2025-09-30 01:47:11.032,114307.6,0.02,BTCUSDT
2025-09-30 01:47:11.032,114307.6,0.004,BTCUSDT
2025-09-30 01:47:11.032,114307.6,0.45,BTCUSDT
2025-09-30 01:47:11.032,114307.6,0.002,BTCUSDT
2025-09-30 01:47:11.032,114307.6,0.002,BTCUSDT
2025-09-30 01:47:11.032,114307.6,0.004,BTCUSDT
2025-09-30 01:47:11.032,114307.6,0.03,BTCUSDT
2025-09-30 01:47:11.032,114307.5,0.002,BTCUSDT
2025-09-30 01:47:11.032,114307.5,0.001,BTCUSDT
2025-09-30 01:47:11.032,114307.5,0.001,BTCUSDT
2025-09-30 01:47:11.032,114307.5,0.001,BTCUSDT
2025-09-30 01:47:11.032,114307.5,0.002,BTCUSDT
2025-09-30 01:47:11.032,114307.4,0.002,BTCUSDT
2025-09-30 01:47:11.032,114307.3,0.002,BTCUSDT
2025-09-30 01:47:11.032,114307.3,0.002,BTCUSDT
2025-09-30 01:47:11.032,114307.3,0.002,BTCUSDT
2025-09-30 01:47:11.032,114307.3,0.002,BTCUSDT
2025-09-30 01:47:11.032,114307.3,0.002,BTCUSDT
2025-09-30 01:47:11.032,114307.3,0.002,BTCUSDT
2025-09-30 01:47:11.032,114307.3,0.002,BTCUSDT
2025-09-30 01:47:11.032,114307.3,0.002,BTCUSDT
2025-09-30 01:47:11.032,114307.2,0.001,BTCUSDT
2025-09-30 01:47:11.032,114307.2,0.002,BTCUSDT
2025-09-30 01:47:11.032,114307.0,0.004,BTCUSDT
2025-09-30 01:47:11.032,114306.9,0.002,BTCUSDT
2025-09-30 01:47:11.032,114306.9,0.002,BTCUSDT
2025-09-30 01:47:11.032,114306.3,0.001,BTCUSDT
2025-09-30 01:47:11.032,114306.3,0.002,BTCUSDT
2025-09-30 01:47:11.032,114306.1,0.008,BTCUSDT
2025-09-30 01:47:11.032,114306.1,0.005,BTCUSDT
2025-09-30 01:47:11.032,114306.1,0.005,BTCUSDT
2025-09-30 01:47:11.032,114306.1,0.005,BTCUSDT
2025-09-30 01:47:11.032,114306.1,0.005,BTCUSDT
2025-09-30 01:47:11.032,114306.1,0.005,BTCUSDT
2025-09-30 01:47:11.032,114306.1,0.005,BTCUSDT
2025-09-30 01:47:11.032,114306.1,0.005,BTCUSDT
2025-09-30 01:47:11.032,114306.1,0.005,BTCUSDT
2025-09-30 01:47:11.032,114306.1,0.005,BTCUSDT
2025-09-30 01:47:11.032,114305.8,0.001,BTCUSDT
2025-09-30 01:47:11.032,114305.7,0.002,BTCUSDT
2025-09-30 01:47:11.032,114305.7,0.002,BTCUSDT
2025-09-30 01:47:11.032,114305.4,0.001,BTCUSDT
2025-09-30 01:47:11.032,114305.3,0.006,BTCUSDT
2025-09-30 01:47:11.032,114305.3,0.002,BTCUSDT
2025-09-30 01:47:11.032,114305.3,0.072,BTCUSDT
2025-09-30 01:47:11.036,114305.3,0.001,BTCUSDT
2025-09-30 01:47:11.036,114305.3,0.031,BTCUSDT
2025-09-30 01:47:11.037,114305.3,0.001,BTCUSDT
2025-09-30 01:47:11.037,114305.3,0.001,BTCUSDT
2025-09-30 01:47:11.037,114305.2,0.001,BTCUSDT
2025-09-30 01:47:11.037,114305.2,0.001,BTCUSDT
2025-09-30 01:47:11.037,114305.2,0.005,BTCUSDT
2025-09-30 01:47:11.037,114305.2,0.02,BTCUSDT
2025-09-30 01:47:11.037,114305.1,0.048,BTCUSDT
2025-09-30 01:47:11.037,114305.1,0.002,BTCUSDT
2025-09-30 01:47:11.037,114305.1,0.002,BTCUSDT
2025-09-30 01:47:11.037,114305.1,0.064,BTCUSDT
2025-09-30 01:47:11.037,114305.0,0.026,BTCUSDT
2025-09-30 01:47:11.038,114305.0,0.061,BTCUSDT
2025-09-30 01:47:11.038,114305.0,0.001,BTCUSDT
2025-09-30 01:47:11.047,114304.9,0.069,BTCUSDT
2025-09-30 01:47:11.047,114304.9,0.001,BTCUSDT
2025-09-30 01:47:11.047,114304.9,0.001,BTCUSDT
2025-09-30 01:47:11.047,114304.9,0.001,BTCUSDT
2025-09-30 01:47:11.047,114304.8,0.003,BTCUSDT
2025-09-30 01:47:11.047,114304.8,0.001,BTCUSDT
2025-09-30 01:47:11.047,114304.8,0.001,BTCUSDT
